paper_id,title,url,authors,year,open_access
AEFYVB2V,Fertility preservation for transgender adolescents,https://doi.org/10.1093/humupd/dmz026,Baram et al.,2019,False
CVSQKXNI,The Desire for More Children Among Israeli Lesbian,https://doi.org/10.1037/fam0001024,Shenkman Geva et al.,2022,False
WAZY9TLU,Challenges and mental health experiences of lesbia,https://doi.org/10.1093/hsw/35.3.191,YAGER Christina and et al,2010,False
27D7JIUH,Disparities in fertility preservation discussions ,https://doi.org/10.1080/07347332.2024.2396466,Wilson-Shabazz et al.,2024,False
SLG84FVL,Lesbians' experiences and attitudes towards parent,https://doi.org/10.1080/13691058.2018.1442021,Voultsos P et al.,2019,False
JJ4QAV82,Lesbian couples childbearing experiences using as,https://doi.org/10.1016/j.midw.2023.103656,Yao Hong et al.,2023,False
62WUND64,Assisted Human Reproduction Issues for Takatapui ,https://doi.org/10.1080/15504280903263702,Glover Marewa P et al.,2009,False
8P7WEDL2,Examining the demographic and psychological variab,https://doi.org/10.1080/15313204.2022.2027313,Chan Celia Hoi-Yan et al.,2023,False
W5ACLWHH,'We are not infertile' challenges and limitations,https://doi.org/10.1080/13691058.2018.1556343,Cardin de Carvalho et al.,2019,False
X8RNPRYL,"Minority stress theory applied to conception, preg",https://doi.org/10.1371/journal.pone.0271945,Lacombe-Duncan et al.,2022,False
C8VJQ8AY,COUNSELING AND SELECTION OF HOMOSEXUAL COUPLES IN ,https://doi.org/10.1093/oxfordjournals.humrep.a137000,BREWAEYS A et al.,1989,False
QMFIF9BF,Transgender men’s fertility preservation experien,https://doi.org/10.1080/13691058.2020.1743881,Birenbaum-Carmeli et al.,2021,False
RJP82C28,Transgender and non-binary Australians' experience,https://doi.org/10.1080/13691058.2019.1580388,Bartholomaeus C and Riggs D W,2020,False
WPVJMFX8,Why fertility preservation rates of transgender me,https://doi.org/10.1016/j.rbmo.2022.01.003,Alpern S et al.,2022,False
5DURCUE9,A qualitative study examining transgender people's,https://doi.org/10.1186/s12889-021-10422-7,Voultsos P et al.,2021,False
X85JVX2A,Queer Couples Trying to Conceive Sexual Minority ,https://doi.org/10.1007/s13178-022-00707-w,Topper Patrina Sexton and Bauermeister Jose A,2022,False
79UJ5M22,Reproductive functions and fertility preservation ,https://doi.org/10.1016/j.rbmo.2021.04.016,Sermondade N et al.,2021,False
ILRAZHJ5,Low fertility preservation utilization among trans,https://doi.org/10.1016/j.jadohealth.2016.12.012,Nahata L et al.,2017,False
9DFGYZR4,Administering gender Trans men's sexual and repro,https://doi.org/10.1080/15532739.2020.1819506,Mendieta A and Vidal-Ortiz S,2020,False
96ID69RF,"How norms concerning maternity, femininity and cis",https://doi.org/10.1016/j.midw.2020.102888,Malmquist A et al.,2021,False
FY2XQUQ6,Minority stress adds an additional layer to fear o,https://doi.org/10.1016/j.midw.2019.102551,Malmquist A et al.,2019,False
X7786BBE,"Minority stress theory applied to conception, preg",https://doi.org/10.1371/journal.pone.0271945,Lacombe-Duncan A et al.,2022,False
P8YFSD4B,Health and Access to Care among Reproductive-Age W,https://doi.org/10.1016/j.whi.2018.10.006,Gonzales G et al.,2019,False
PBJDGZMC,State-Level Regulations Regarding the Protection o,https://doi.org/10.1097/PSY.0000000000001092,Everett Bethany G et al.,2022,False
W5ZTHBHG,Biotechnologies that empower transgender persons t,https://doi.org/10.1186/s13010-018-0054-3,Condat Agnes et al.,2018,False
8969GSQP,Adverse pregnancy and birth outcomes in sexual min,https://doi.org/10.1186/s12884-022-05271-0,Barcelona Veronica et al.,2022,False
